"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelDiagnosticReportDiabetes","BeModelDiagnosticReportDiabetes","","","",0,*,"","","","null {[]} {[]}
","BeModelDiagnosticReportDiabetes","BeModelDiagnosticReportDiabetes","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelDiagnosticReportDiabetes.UniqueIdentifierNational","BeModelDiagnosticReportDiabetes.UniqueIdentifierNational","","","",1,1,"","","","Identifier {[]} {[]}
","Unique business identifier of the report.(https://docs.google.com/document/d/13qamEPfdQ2HgUiXmjwHQNchpEU3LsQHF5MN9jKufX2g/edit?usp=sharing).","Unique business identifier of the report.(https://docs.google.com/document/d/13qamEPfdQ2HgUiXmjwHQNchpEU3LsQHF5MN9jKufX2g/edit?usp=sharing).","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.UniqueIdentifierNational",1,1,"",""
"BeModelDiagnosticReportDiabetes.BusinessIdentifier","BeModelDiagnosticReportDiabetes.BusinessIdentifier","","","",0,1,"","","","Identifier {[]} {[]}
","Report identifier for the internal supplier's business.","Report identifier for the internal supplier's business.","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.BusinessIdentifier",0,1,"",""
"BeModelDiagnosticReportDiabetes.RecordedDate","BeModelDiagnosticReportDiabetes.RecordedDate","","","",1,1,"","","","dateTime {[]} {[]}
","Date the report was produced.","Date the report was produced.","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.RecordedDate",1,1,"",""
"BeModelDiagnosticReportDiabetes.ObservationPeriod","BeModelDiagnosticReportDiabetes.ObservationPeriod","","","",1,1,"","","","Period {[]} {[]}
","From date to date corresponding to the period covered by the report. Typically 14 to 30 days. See 2.1 above, Figure 3 Data relationship logic.","From date to date corresponding to the period covered by the report. Typically 14 to 30 days. See 2.1 above, Figure 3 Data relationship logic.","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.ObservationPeriod",1,1,"",""
"BeModelDiagnosticReportDiabetes.Patient","BeModelDiagnosticReportDiabetes.Patient","","","",1,1,"","","","Identifier {[]} {[]}
","We refer to the patient, subject of the report, by his unique identifier.This identifier is preferably the patient's national register number (NISS). In some cases, another unique identifier may be allowed.","We refer to the patient, subject of the report, by his unique identifier.This identifier is preferably the patient's national register number (NISS). In some cases, another unique identifier may be allowed.","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.Patient",1,1,"",""
"BeModelDiagnosticReportDiabetes.Recorder","BeModelDiagnosticReportDiabetes.Recorder","","","",1,1,"","","","Identifier {[]} {[]}
","This refers to the service provider or organization that encodes the information.[1] The unique identifier for each natural person is the NISS, while for each organization the business number serves as the unique identifier.","This refers to the service provider or organization that encodes the information.[1] The unique identifier for each natural person is the NISS, while for each organization the business number serves as the unique identifier.","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.Recorder",1,1,"",""
"BeModelDiagnosticReportDiabetes.Performer","BeModelDiagnosticReportDiabetes.Performer","","","",1,1,"","","","Identifier {[]} {[]}
","We refer to the service provider or organization that collects the observations and produces the report. [2]The unique identifier of each natural person is the NISS, while for each organization the company number serves as the unique identifier.For the Diabetes Diagnostic Report, it is: “performer = recorder.»","We refer to the service provider or organization that collects the observations and produces the report. [2]The unique identifier of each natural person is the NISS, while for each organization the company number serves as the unique identifier.For the Diabetes Diagnostic Report, it is: “performer = recorder.»","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.Performer",1,1,"",""
"BeModelDiagnosticReportDiabetes.Interpreter","BeModelDiagnosticReportDiabetes.Interpreter","","","",0,1,"","","","Identifier {[]} {[]}
","Care provider identified by their NISS (endocrinologist* , general practitioner, etc.) interprets the observations in the report. ResultsInterpreter This element will not be provided by the producer of the report, but will include the reference of the healthcare provider who does the interpretation.","Care provider identified by their NISS (endocrinologist* , general practitioner, etc.) interprets the observations in the report. ResultsInterpreter This element will not be provided by the producer of the report, but will include the reference of the healthcare provider who does the interpretation.","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.Interpreter",0,1,"",""
"BeModelDiagnosticReportDiabetes.Category","BeModelDiagnosticReportDiabetes.Category","","","",1,*,"","","","CodeableConcept {[]} {[]}
","Category of the report. According to ref. 8, it would be appropriate to consider setting the cardinality of the Catgory field to 1..* and to add to this report the values: 4311000179106 |Chemical pathology report (record artifact) and 408475000 |Diabetic medicine (qualifier value). 394583002 |Endocrinology (qualifier value) of the report. Look at VS_DiagRep_Category.","Category of the report. According to ref. 8, it would be appropriate to consider setting the cardinality of the Catgory field to 1..* and to add to this report the values: 4311000179106 |Chemical pathology report (record artifact) and 408475000 |Diabetic medicine (qualifier value). 394583002 |Endocrinology (qualifier value) of the report. Look at VS_DiagRep_Category.","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.Category",1,*,"",""
"BeModelDiagnosticReportDiabetes.Qualification","BeModelDiagnosticReportDiabetes.Qualification","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Is the category of diabetic patient (CAT 1, CAT 2, CAT 3). (See glossary for details).By default, the qualification is “CAT 3”.The category is calculated by an algorithm from the diagnosis provided by the doctor — interpreter.","Is the category of diabetic patient (CAT 1, CAT 2, CAT 3). (See glossary for details).By default, the qualification is “CAT 3”.The category is calculated by an algorithm from the diagnosis provided by the doctor — interpreter.","","","","","","","","","",,,,,"",,,,"BeModelDiagnosticReportDiabetes.Qualification",1,1,"",""
