Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.glucose-monitoring.json	11709	-	0	0	0	0	0	0	12	51	0	0	0	0	0	0	0	0	0	0	0	155	302	0	0	0	4	0	1
fsh-generated/resources/Bundle-uc52-bundle.json	4718	4	21	0	2	0	0	0	1	2926	0	0	0	0	0	0	0	0	0	0	0	28	77	0	0	0	0	0	0
fsh-generated/resources/Bundle-uc53-bundle.json	30613	8	15	0	0	0	0	0	5	1670	0	0	0	0	0	0	0	0	0	0	0	123	318	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-be-cs-diabetes-device-type.json	2015	2	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	0	22	180	0	0	0	1	0	0
fsh-generated/resources/Composition-uc52-composition.json	657	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	18	0	0	0	0	0	0
fsh-generated/resources/Composition-uc53-composition.json	657	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Device-device.json	256	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-uc52-pdfonly.json	2734	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	16	10	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-uc53-pdf-derived.json	3396	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	27	39	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-diagnostic-report-diabetes.json	391	1	12	0	0	0	0	0	1	3	357	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-observation-diabetes.json	374	1	2	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	1	0	0
fsh-generated/resources/Observation-397dffb4-a88a-47d0-b10d-beffcbf6157d.json	2340	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	18	25	0	0	0	0	0	0
fsh-generated/resources/Observation-449a728d-dfb4-422d-94aa-1a2d43849ee5.json	2428	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	19	19	0	0	0	0	0	0
fsh-generated/resources/Observation-454a29d0-0893-458a-b2e5-25452b89e29a.json	2414	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	1
fsh-generated/resources/Observation-6756477d-b57a-4611-b048-374d46f52908.json	2334	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	13	18	0	0	0	0	0	0
fsh-generated/resources/Observation-a6665182-e11a-40a9-ae83-9b093a353f16.json	2426	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	17	18	0	0	0	0	0	0
fsh-generated/resources/Observation-b28ef33b-0480-4bde-a5df-94988813110b.json	2430	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	18	0	0	0	0	0	0
fsh-generated/resources/Observation-b44fe5d5-f57b-4424-b628-d2baeb447738.json	2418	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	15	19	0	0	0	0	0	0
fsh-generated/resources/Observation-c611b58d-27bb-49e2-b3ec-bd59e986f5f3.json	2334	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	21	18	0	0	0	0	0	0
fsh-generated/resources/Parameters-terminology-expansion.json	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BeModelDiagnosticReportDiabetes.json	13046	3	0	12	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	103	761	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelObservationDiabetes.json	9309	2	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	107	235	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-diagnostic-report-diabetes.json	7275	2	0	87	0	0	0	0	1	62	0	0	1	0	0	0	0	0	0	0	0	238	824	0	0	0	19	0	1
fsh-generated/resources/StructureDefinition-be-observation-diabetes.json	4631	2	0	66	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	0	259	1011	0	0	0	14	0	0
fsh-generated/resources/ValueSet-be-vs-diabetes-device-type.json	707	1	0	0	0	0	0	0	0	614	0	0	0	0	0	0	0	0	0	0	0	11	158	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-diabetes-observation-category.json	932	1	0	0	0	0	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	10	248	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-diabetes-observation-code.json	1611	1	0	0	0	0	0	0	1	168	0	0	0	0	0	0	0	0	0	0	0	14	395	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-diabetes-observation-status.json	821	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	11	67	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-diabetes-report-category.json	911	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	13	225	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-diabetes-report-code.json	767	1	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	10	221	0	0	0	1	0	0
fsh-generated/resources/ValueSet-be-vs-diabetes-report-status.json	793	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	14	60	0	0	0	0	0	0
/input/includes/dmn.css	838	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/menu.xml_bla	919	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/includes/dmn2html.xslt	6208	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1772	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	2226	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	5	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/downloads.xml	1287	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0
/input/pagecontent/spec.md	56	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/guidance.xml	523	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
/input/pagecontent/changes.xml	457	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0
