Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.glucose-monitoring.json	11709	-	0	0	0	0	0	0	13	50	0	0	0	0	0	0	0	0	0	0	0	153	212	0	0	0	4	0	1
fsh-generated/resources/Bundle-uc52-bundle.json	4718	5	15	0	2	0	0	0	0	2858	0	0	0	0	0	0	0	0	0	0	0	27	31	0	0	0	0	0	0
fsh-generated/resources/Bundle-uc53-bundle.json	30613	9	16	0	1	0	0	0	5	1628	0	0	0	0	0	0	0	1	0	0	0	124	186	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-be-cs-diabetes-device-type.json	2015	2	0	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0	0	25	155	0	0	0	1	0	0
fsh-generated/resources/Composition-uc52-composition.json	657	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/Composition-uc53-composition.json	657	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/Device-device.json	256	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	5	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-uc52-pdfonly.json	2734	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-uc53-pdf-derived.json	3396	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	26	27	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-diagnostic-report-diabetes.json	391	0	8	0	0	0	0	0	0	4	328	0	0	0	0	0	0	0	0	0	0	15	10	0	0	0	0	0	0
fsh-generated/resources/NamingSystem-be-ns-observation-diabetes.json	374	1	3	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Observation-397dffb4-a88a-47d0-b10d-beffcbf6157d.json	2340	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/Observation-449a728d-dfb4-422d-94aa-1a2d43849ee5.json	2428	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Observation-454a29d0-0893-458a-b2e5-25452b89e29a.json	2414	1	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Observation-6756477d-b57a-4611-b048-374d46f52908.json	2334	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	0
fsh-generated/resources/Observation-a6665182-e11a-40a9-ae83-9b093a353f16.json	2426	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/Observation-b28ef33b-0480-4bde-a5df-94988813110b.json	2430	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Observation-b44fe5d5-f57b-4424-b628-d2baeb447738.json	2418	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/Observation-c611b58d-27bb-49e2-b3ec-bd59e986f5f3.json	2334	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Parameters-terminology-expansion.json	166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-BeModelDiagnosticReportDiabetes.json	13046	2	0	13	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	121	742	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelObservationDiabetes.json	9309	2	0	9	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	73	246	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-be-diagnostic-report-diabetes.json	7275	2	0	80	0	0	0	0	0	59	0	0	1	0	0	0	0	1	0	0	0	263	741	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-be-observation-diabetes.json	4631	2	0	55	0	0	0	0	0	28	0	0	0	0	0	0	0	1	0	0	0	263	1082	0	0	0	11	0	1
fsh-generated/resources/ValueSet-be-vs-diabetes-device-type.json	707	1	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	13	106	0	0	0	0	0	0
fsh-generated/resources/ValueSet-be-vs-diabetes-observation-category.json	932	0	0	0	0	0	0	0	1	481	0	0	0	0	0	0	0	0	0	0	0	14	232	0	0	0	1	0	0
